;Aporte;AportePred;AporteMediaMovilQ;AporteMediaMovilS;AporteMediaMovilA;AportePredMediaMovilQ;AportePredMediaMovilS;AportePredMediaMovilA;Empresa
2020-07-01;14073620128.0;112012188029;91424599733.0;76180332403.0;67410914314.0;86586127473.0;68818521066.0;63126808928.0;Emp2
2020-08-01;49318035551.0;66343815664;43454278250.0;81240445371.0;60294583943.0;84210743883.0;72640920070.0;63170811871.0;Emp2
2020-09-01;82712619274.0;107646552372;48701424984.0;79448176576.0;65194644622.0;95334185355.0;83766874726.0;66018257430.0;Emp2
2020-10-01;45952455305.0;61977640520;59327703377.0;75376151555.0;68237003445.0;78656002852.0;82621065162.0;65987423985.0;Emp2
2020-11-01;34617976408.0;41026880746;54427683662.0;48940980956.0;68903602930.0;70217024546.0;77213884215.0;66507744460.0;Emp2
2020-12-01;70259127206.0;47718040519;50276519640.0;49488972312.0;67667032359.0;50240853928.0;72787519642.0;64509247327.0;Emp2
2021-01-01;67030845818.0;65054968984;57302649811.0;58315176594.0;67247754498.0;51266630083.0;64961316468.0;66889918767.0;Emp2
2021-02-01;94488022836.0;55871925320;77259331953.0;65843507808.0;73541976589.0;56214978274.0;63216001410.0;67928460740.0;Emp2
2021-03-01;62969045144.0;58144005832;74829304599.0;62552912120.0;71000544348.0;59690300045.0;54965576987.0;69366225856.0;Emp2
2021-04-01;43115020704.0;74751591683;66857362895.0;62080006353.0;68728078954.0;62922507612.0;57094568847.0;69857817005.0;Emp2
2021-05-01;94734775199.0;62886467220;66939613682.0;72099472818.0;60520226887.0;65260688245.0;60737833260.0;68975858737.0;Emp2
2021-06-01;58928846560.0;79033426238;65592880821.0;70211092710.0;59850032511.0;72223828380.0;65957064213.0;69372291927.0;Emp2
2021-07-01;28344643321.0;68914193217;60669421693.0;63763392294.0;61039284444.0;70278028892.0;66600268252.0;65780792360.0;Emp2
2021-08-01;92013841518.0;47747544791;59762443800.0;63351028741.0;64597268274.0;65231721415.0;65246204830.0;64231103120.0;Emp2
2021-09-01;81174610226.0;74471070140;67177698355.0;66385289588.0;64469100854.0;63710936049.0;67967382215.0;61466479601.0;Emp2
2021-10-01;36823848891.0;69996405703;70004100212.0;65336760952.0;63708383653.0;64071673545.0;67174851218.0;62134710033.0;Emp2
